"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Elephant & Castle,Southall," 1,340 ",
East Croydon,Westminster," 1,330 ",
Clapham Junction,Baker Street," 1,320 ",
South Kensington,Denmark Hill," 1,320 ",
Oxford Circus,Purley," 1,320 ",
Earlsfield,Warren Street," 1,320 ",
East Croydon,Camden Town," 1,310 ",
Richmond,London Bridge LU," 1,310 ",
West Drayton,Oxford Circus," 1,310 ",
London Bridge LU,Richmond," 1,310 ",
Herne Hill,Oxford Circus," 1,300 ",
Waltham Cross,Oxford Circus," 1,300 ",
Lewisham NR,Paddington LU," 1,300 ",
Denmark Hill,South Kensington," 1,300 ",
Lewisham DLR,Barking," 1,290 ",
South Kensington,Lewisham NR," 1,290 ",
Piccadilly Circus,Surbiton," 1,290 ",
Embankment,Upminster," 1,290 ",
Wimbledon,Warren Street," 1,290 ",
Seven Sisters,Wimbledon," 1,290 ",
Hither Green,Bond Street," 1,280 ",
Raynes Park,Green Park," 1,280 ",
Wimbledon,Seven Sisters," 1,280 ",
Green Park,Surbiton," 1,280 ",
Thornton Heath,Tooting Broadway," 1,280 ",
Piccadilly Circus,Hayes & Harlington," 1,270 ",
Oxford Circus,Lewisham NR," 1,270 ",
Hayes & Harlington,Piccadilly Circus," 1,270 ",
Green Park,Wandsworth Town," 1,270 ",
Earlsfield,Bond Street," 1,260 ",
Vauxhall LU,Bromley South," 1,260 ",
Brixton LU,Clapham Junction," 1,260 ",
Bond Street,Earlsfield," 1,260 ",
Finsbury Park LU,Enfield Lock," 1,260 ",
Oxford Circus,Twickenham," 1,260 ",
Seven Kings,Farringdon," 1,250 ",
Feltham,Oxford Circus," 1,250 ",
Broxbourne,Oxford Circus," 1,250 ",
Oxford Circus,Southall," 1,250 ",
East Croydon,Angel," 1,240 ",
Euston Square,Chadwell Heath," 1,240 ",
Wimbledon,Kings Cross LU (North)," 1,240 ",
Wimbledon,Walthamstow Central," 1,240 ",
Oxford Circus,West Drayton," 1,240 ",
Farringdon,Ilford," 1,230 ",
Earlsfield,Kings Cross LU (North)," 1,230 ",
Harrow & Wealdstone,Vauxhall LU," 1,230 ",
Watford Junction,Leicester Square," 1,220 ",
Hampstead Heath,Willesden Green," 1,220 ",
Orpington,Bond Street," 1,210 ",
Catford Bridge,Bond Street," 1,210 ",
Westminster,East Croydon," 1,210 ",
Oxford Circus,Enfield Lock," 1,210 ",
Oxford Circus,Feltham," 1,210 ",
Oxford Circus,Herne Hill," 1,210 ",
Vauxhall LU,Southall," 1,210 ",
Angel,East Croydon," 1,200 ",
Paddington LU,Lewisham NR," 1,200 ",
Putney,London Bridge NR," 1,200 ",
Sutton Surrey,South Kensington," 1,200 ",
South Kensington,Sutton Surrey," 1,200 ",
Leicester Square,Watford Junction," 1,200 ",
